folder,filename,custom_title,cycles,t_min,t_max,f_min,f_max,fft_min,graph_harmonics,power,RC_int_cutoff,show_closeup,RLC_oscillator,RLC_omega,RLC_omega_err,RLC_tau,RLC_tau_err,include_in_Qf_plot 
rlc_oscillator,12_series_0.10uF_02_noavg_10us_N4096.txt,NaN,1,NaN,NaN,NaN,NaN,0.005,FALSE,NaN,NaN,FALSE,TRUE,3921.16,0.21,13.679,0.04,TRUE
rlc_oscillator,12_series_0.10uF_03_16avg_10us_N2048.txt,NaN,16,NaN,NaN,NaN,NaN,0.005,FALSE,NaN,NaN,FALSE,TRUE,3923.326,0.024,13.4275,0.0032,TRUE
rlc_oscillator,12_series_0.10uF_03_noavg_10us_N2048.txt,NaN,1,NaN,NaN,NaN,NaN,0.005,FALSE,NaN,NaN,FALSE,TRUE,3921.54,0.27,13.898,0.053,TRUE
rlc_oscillator,12_series_0.22uF_01_16avg_20us_N2048.txt,NaN,16,NaN,NaN,NaN,NaN,0.005,FALSE,NaN,NaN,FALSE,TRUE,2725.728,0.022,16.4653,0.0045,TRUE
rlc_oscillator,12_series_0.22uF_01_noavg_10us_N4096.txt,NaN,1,NaN,NaN,NaN,NaN,0.005,FALSE,NaN,NaN,FALSE,TRUE,2725.37,0.15,16.509,0.04,TRUE
rlc_oscillator,12_series_0.47uF_01_16avg_20us_N2048.txt,NaN,16,NaN,NaN,NaN,NaN,0.005,FALSE,NaN,NaN,FALSE,TRUE,1758.643,0.015,19.9044,0.0044,TRUE
rlc_oscillator,12_series_0.47uF_01_noavg_10us_N4096.txt,NaN,1,NaN,NaN,NaN,NaN,0.005,FALSE,NaN,NaN,FALSE,TRUE,1758.42,0.11,19.866,0.042,TRUE
rlc_oscillator,12_antipa_01_16avg_10us_N1024.txt,NaN,16,NaN,NaN,NaN,NaN,0.005,FALSE,NaN,NaN,FALSE,TRUE,8802.14,0.27,3.2548,0.0016,TRUE
rlc_oscillator,12_antipa_01_noavg_10us_N1024.txt,NaN,1,NaN,NaN,NaN,NaN,0.005,FALSE,NaN,NaN,FALSE,TRUE,8787.7,2.8,3.256,0.03,TRUE
rlc_oscillator,12_antipa_02_16avg_10us_N1024.txt,NaN,16,NaN,NaN,NaN,NaN,0.005,FALSE,NaN,NaN,FALSE,TRUE,8815.85,0.28,3.2489,0.0017,TRUE
rlc_oscillator,12_antipa_02_noavg_10us_N1024.txt,NaN,1,NaN,NaN,NaN,NaN,0.005,FALSE,NaN,NaN,FALSE,TRUE,8801.9,2.7,3.235,0.028,TRUE
rlc_oscillator,13_alluminio_pieno.txt,NaN,16,NaN,NaN,NaN,NaN,0.005,FALSE,NaN,NaN,FALSE,TRUE,4278.9,0.24,5.4959,0.0048,TRUE
rlc_oscillator,13_alluminio_profilato_segato.txt,NaN,8,NaN,NaN,NaN,NaN,0.005,FALSE,NaN,NaN,FALSE,TRUE,3929.039,0.05,11.6935,0.005,TRUE
rlc_oscillator,13_alluminio_profilato.txt,NaN,16,NaN,NaN,NaN,NaN,0.005,FALSE,NaN,NaN,FALSE,TRUE,4308.28,0.46,3.5,0.0041,TRUE
rlc_oscillator,13_ferro_laminato.txt,NaN,16,NaN,NaN,NaN,NaN,0.005,FALSE,NaN,NaN,FALSE,TRUE,2264.048,0.058,10.6226,0.0053,TRUE
rlc_oscillator,13_ferro_pieno.txt,NaN,16,NaN,NaN,NaN,NaN,0.005,FALSE,NaN,NaN,FALSE,TRUE,2938.2,2.9,2.0001,0.0092,TRUE
rlc_oscillator,13_niente_avvitamento_antiserie.txt,NaN,16,NaN,NaN,NaN,NaN,0.005,FALSE,NaN,NaN,FALSE,TRUE,8804.23,0.27,3.2551,0.0017,TRUE
rlc_oscillator,13_niente_avvitamento_esterno.txt,NaN,8,NaN,NaN,NaN,NaN,0.005,FALSE,NaN,NaN,FALSE,TRUE,6257.07,0.1,8.2475,0.0043,TRUE
rlc_oscillator,13_niente_avvitamento_interno.txt,NaN,16,NaN,NaN,NaN,NaN,0.005,FALSE,NaN,NaN,FALSE,TRUE,8688.87,0.13,5.9947,0.0029,TRUE
rlc_oscillator,13_niente_avvitamento_serie.txt,NaN,8,NaN,NaN,NaN,NaN,0.005,FALSE,NaN,NaN,FALSE,TRUE,3924.633,0.081,13.2362,0.0096,TRUE
rlc_oscillator,13_ottone_pieno.txt,NaN,16,NaN,NaN,NaN,NaN,0.005,FALSE,NaN,NaN,FALSE,TRUE,4335.87,0.19,5.917,0.0044,TRUE
simple_waveforms,04_sine1.txt,NaN,1,NaN,NaN,NaN,NaN,NaN,FALSE,NaN,NaN,TRUE,FALSE,NaN,NaN,NaN,NaN,FALSE
simple_waveforms,04_sine2.txt,NaN,1,NaN,NaN,NaN,NaN,NaN,FALSE,NaN,NaN,TRUE,FALSE,NaN,NaN,NaN,NaN,FALSE
simple_waveforms,04_triangle1.txt,NaN,1,NaN,NaN,NaN,NaN,NaN,TRUE,2,NaN,TRUE,FALSE,NaN,NaN,NaN,NaN,FALSE
simple_waveforms,04_triangle2.txt,NaN,1,NaN,NaN,NaN,NaN,NaN,TRUE,2,NaN,TRUE,FALSE,NaN,NaN,NaN,NaN,FALSE
simple_waveforms,04_triangle3.txt,NaN,1,NaN,NaN,NaN,NaN,NaN,TRUE,2,NaN,TRUE,FALSE,NaN,NaN,NaN,NaN,FALSE
simple_waveforms,04_square1.txt,NaN,1,NaN,NaN,NaN,NaN,NaN,TRUE,1,NaN,TRUE,FALSE,NaN,NaN,NaN,NaN,FALSE
simple_waveforms,04_sine_highduty.txt,NaN,1,NaN,NaN,NaN,NaN,NaN,TRUE,NaN,NaN,TRUE,FALSE,NaN,NaN,NaN,NaN,FALSE
simple_waveforms,04_sine_lowduty.txt,NaN,1,NaN,NaN,NaN,NaN,NaN,TRUE,NaN,NaN,TRUE,FALSE,NaN,NaN,NaN,NaN,FALSE
simple_waveforms,04_triangle_highduty1.txt,NaN,1,NaN,NaN,NaN,NaN,NaN,TRUE,2,NaN,TRUE,FALSE,NaN,NaN,NaN,NaN,FALSE
simple_waveforms,04_triangle_highduty2.txt,NaN,1,NaN,NaN,NaN,NaN,NaN,TRUE,2,NaN,TRUE,FALSE,NaN,NaN,NaN,NaN,FALSE
simple_waveforms,04_triangle_lowduty.txt,NaN,1,NaN,NaN,NaN,NaN,NaN,TRUE,2,NaN,TRUE,FALSE,NaN,NaN,NaN,NaN,FALSE
simple_waveforms,04_square_highduty.txt,NaN,1,NaN,NaN,NaN,NaN,NaN,TRUE,1,NaN,TRUE,FALSE,NaN,NaN,NaN,NaN,FALSE
simple_waveforms,04_square_lowduty.txt,NaN,1,NaN,NaN,NaN,NaN,NaN,TRUE,1,NaN,TRUE,FALSE,NaN,NaN,NaN,NaN,FALSE
simple_waveforms,05_squarelong1.txt,NaN,1,NaN,NaN,NaN,NaN,NaN,TRUE,1,498,TRUE,FALSE,NaN,NaN,NaN,NaN,FALSE
simple_waveforms,05_squarelong2.txt,NaN,1,NaN,NaN,NaN,NaN,NaN,TRUE,1,498,TRUE,FALSE,NaN,NaN,NaN,NaN,FALSE
