filename,frequency,frequency_err,peaktopeak_in,peaktopeak_in_err,peaktopeak_out,peaktopeak_out_err,multimeter_amp,multimeter_amp_err,dt_nominal
21hz_200us_512,21.523,0.001,2.92,0.11,2.76,0.10,1.520,0.015,200
113hz_40us_512,113.51,0.01,2.92,0.11,2.74,0.10,1.361,0.014,40
257hz_10us_1024,257.8,0.1,2.92,0.11,2.72,0.10,1.159,0.012,10
BAD_273hz_50us_256,273.84,0.01,2.92,0.11,2.80,0.10,1.471,0.015,50
324hz_10us_8192,324.7,0.1,2.92,0.11,2.68,0.10,1.066,0.012,10
439hz_10us_512,439.1,0.1,2.92,0.11,2.54,0.10,0.925,0.010,10
527hz_10us_8192,527.5,0.1,2.92,0.11,2.40,0.09,0.830,0.010,10
786hz_10us_256,786.5,0.1,2.92,0.11,2.00,0.08,0.625,0.008,10
930hz_10us_256,930.5,0.1,2.92,0.11,1.78,0.07,0.545,0.007,10
BAD_1043hz_10us_256,1043.3,0.1,2.92,0.11,1.64,0.07,0.495,0.007,10
1173hz_10us_256,1173.0,0.1,2.92,0.11,1.50,0.07,0.446,0.007,10
1317hz_10us_256,1317.0,0.1,2.92,0.11,1.38,0.06,0.401,0.006,10
